species,patch_ID,ID,R,G,B,type,camera_cat,col_percent,location
Astraeus_crassus,Astraeus_crassus_1,Astraeus_crassus_1,97.89,93.297,91.871,VIS,medium,0.726143268,RoI
Astraeus_crassus,Astraeus_crassus_2,Astraeus_crassus_2,45.169,50.14,43.725,VIS,medium,0.724860573,RoI
Astraeus_crassus,Astraeus_crassus_3,Astraeus_crassus_3,58.331,61.115,53.091,VIS,medium,0.723867446,RoI
Astraeus_crassus,Astraeus_crassus_yellow_1,Astraeus_crassus_1,204.778,157.941,66.829,VIS,medium,0.273856732,RoI
Astraeus_crassus,Astraeus_crassus_yellow_2,Astraeus_crassus_2,165.925,127.251,46.483,VIS,medium,0.275139427,RoI
Astraeus_crassus,Astraeus_crassus_yellow_3,Astraeus_crassus_3,134.47,94.487,37.901,VIS,medium,0.276132554,RoI
Astraeus_crassus,Astraeus_crassus_1,Astraeus_crassus_1,47.147,26.61,48.901,NIR,medium,0.726143268,RoI
Astraeus_crassus,Astraeus_crassus_2,Astraeus_crassus_2,52.108,29.683,52.378,NIR,medium,0.724860573,RoI
Astraeus_crassus,Astraeus_crassus_3,Astraeus_crassus_3,35.196,19.803,35.163,NIR,medium,0.723867446,RoI
Astraeus_crassus,Astraeus_crassus_yellow_1,Astraeus_crassus_1,96.295,56.531,90.025,NIR,medium,0.273856732,RoI
Astraeus_crassus,Astraeus_crassus_yellow_2,Astraeus_crassus_2,94.409,54.829,87.286,NIR,medium,0.275139427,RoI
Astraeus_crassus,Astraeus_crassus_yellow_3,Astraeus_crassus_3,88.406,51.103,82.731,NIR,medium,0.276132554,RoI
Astraeus_crassus,Astraeus_crassus_1,Astraeus_crassus_1,27.724,0,175.026,UV,medium,0.726143268,grey
Astraeus_crassus,Astraeus_crassus_2,Astraeus_crassus_2,26.552,0,171.494,UV,medium,0.724860573,grey
Astraeus_crassus,Astraeus_crassus_3,Astraeus_crassus_3,20.015,0,165.23,UV,medium,0.723867446,grey
Astraeus_crassus,Astraeus_crassus_yellow_1,Astraeus_crassus_1,27.724,0,175.026,UV,medium,0.273856732,grey
Astraeus_crassus,Astraeus_crassus_yellow_2,Astraeus_crassus_2,26.552,0,171.494,UV,medium,0.275139427,grey
Astraeus_crassus,Astraeus_crassus_yellow_3,Astraeus_crassus_3,20.015,0,165.23,UV,medium,0.276132554,grey
Astraeus_crassus,Astraeus_crassus_1,Astraeus_crassus_1,180.227,198.912,195.728,VIS,medium,0.726143268,grey
Astraeus_crassus,Astraeus_crassus_2,Astraeus_crassus_2,153.02,172.309,168.343,VIS,medium,0.724860573,grey
Astraeus_crassus,Astraeus_crassus_3,Astraeus_crassus_3,166.507,185.856,182.515,VIS,medium,0.723867446,grey
Astraeus_crassus,Astraeus_crassus_yellow_1,Astraeus_crassus_1,180.227,198.912,195.728,VIS,medium,0.273856732,grey
Astraeus_crassus,Astraeus_crassus_yellow_2,Astraeus_crassus_2,153.02,172.309,168.343,VIS,medium,0.275139427,grey
Astraeus_crassus,Astraeus_crassus_yellow_3,Astraeus_crassus_3,166.507,185.856,182.515,VIS,medium,0.276132554,grey
Astraeus_crassus,Astraeus_crassus_1,Astraeus_crassus_1,95.985,54.938,87.554,NIR,medium,0.726143268,grey
Astraeus_crassus,Astraeus_crassus_2,Astraeus_crassus_2,91.007,51.256,83.061,NIR,medium,0.724860573,grey
Astraeus_crassus,Astraeus_crassus_3,Astraeus_crassus_3,95.599,54.609,87.26,NIR,medium,0.723867446,grey
